Category,Scraped docs,Status,Converted,Path,path_end
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2013/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2014/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2015/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2016/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2017/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2018/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2019/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2020/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2021/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2022/9,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/1,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/10,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/11,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/12,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/2,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/3,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/4,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/5,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/6,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/7,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/8,FULL_PATH
Motie,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/Moties/2023/9,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2017-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2018-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2019-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2020-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2021-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2022-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2023-gemeenteraad,FULL_PATH
Onderzoeksrapport,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/onderzoek-in-de-gemeenteraad/onderzoeken-rapporten-2024-gemeenteraad,FULL_PATH
Actualiteit,missing,Collected BUT MESSY!,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/actualiteit,FULL_PATH
Adviesaanvraag,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/adviesaanvraag,FULL_PATH
Agenda,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/agenda,FULL_PATH
Agenda,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/agenda_amsterdam,FULL_PATH
Amendement,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/amendement,FULL_PATH
Begroting,missing,Collected BUT MESSY!,WIP (badly slow),/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/begroting,FULL_PATH
Besluit,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/besluiten,FULL_PATH
Brief,missing,Collected (raadsinformatiebrieven only),DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/raadsinformatiebrief,FULL_PATH
Raadsadres,missing,Collected BUT A BIT MESSY!,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/raadsadres,FULL_PATH
Termijnagenda,missing,Collected BUT OVERLAPPING AGENDA + CAN get more,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/termijnagenda,FULL_PATH
Verslag,missing,Collected (cant get more than this),DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/raadsnotulen,FULL_PATH
Voordracht,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/voordrachten,FULL_PATH
Voordracht,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/search_results/voordrachten_amsterdam,FULL_PATH
Schriftelijke Vragen,missing,Collected,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/raadsinformatie/SchriftelijkeVragen,FULL_PATH
Factsheets,missing,Collected but A BIT MESSY towards the end,DONE,/home/azureuser/cloudfiles/code/blobfuse/raadsinformatie/OpenResearch/factsheets,FULL_PATH
